product_id,product_name,category,sub_category,brand,unit_cost,unit_price,supplier,is_active
P0062,三只松鼠 坚果礼盒 升级款,食品饮料,坚果礼盒,三只松鼠,52.86,138.4,三只松鼠官方旗舰店,1
P0063,三只松鼠 坚果礼盒 尊享款,食品饮料,坚果礼盒,三只松鼠,53.27,123.66,三只松鼠官方旗舰店,1
P0064,雀巢 咖啡 经典款,食品饮料,咖啡,雀巢,42.94,108.71,雀巢官方旗舰店,1
P0065,雀巢 咖啡 升级款,食品饮料,咖啡,雀巢,42.12,106.95,雀巢官方旗舰店,1
P0066,雀巢 咖啡 尊享款,食品饮料,咖啡,雀巢,42.45,103.09,雀巢官方旗舰店,1
P0067,八马 茶叶 经典款,食品饮料,茶叶,八马,113.46,268.74,八马官方旗舰店,1
P0068,八马 茶叶 升级款,食品饮料,茶叶,八马,125.56,277.41,八马官方旗舰店,1
P0069,八马 茶叶 尊享款,食品饮料,茶叶,八马,110.62,265.06,八马官方旗舰店,1
P0070,德芙 巧克力 经典款,食品饮料,巧克力,德芙,22.18,53.39,德芙官方旗舰店,1
P0071,德芙 巧克力 升级款,食品饮料,巧克力,德芙,22.23,57.68,德芙官方旗舰店,1
P0072,德芙 巧克力 尊享款,食品饮料,巧克力,德芙,22.54,58.94,德芙官方旗舰店,1
P0073,蒙牛 牛奶 经典款,食品饮料,牛奶,蒙牛,35.61,76.71,蒙牛官方旗舰店,1
P0074,蒙牛 牛奶 升级款,食品饮料,牛奶,蒙牛,36.92,79.09,蒙牛官方旗舰店,1
P0075,蒙牛 牛奶 尊享款,食品饮料,牛奶,蒙牛,38.23,87.88,蒙牛官方旗舰店,1
P0076,飞鹤 奶粉 经典款,母婴玩具,奶粉,飞鹤,187.24,312.99,飞鹤官方旗舰店,1
P0077,飞鹤 奶粉 升级款,母婴玩具,奶粉,飞鹤,180.44,317.5,飞鹤官方旗舰店,1
P0078,飞鹤 奶粉 尊享款,母婴玩具,奶粉,飞鹤,175.41,365.48,飞鹤官方旗舰店,1
P0079,帮宝适 纸尿裤 经典款,母婴玩具,纸尿裤,帮宝适,67.68,151.06,帮宝适官方旗舰店,1
P0080,帮宝适 纸尿裤 升级款,母婴玩具,纸尿裤,帮宝适,66.43,132.47,帮宝适官方旗舰店,1
P0081,帮宝适 纸尿裤 尊享款,母婴玩具,纸尿裤,帮宝适,66.81,150.88,帮宝适官方旗舰店,1
P0082,乐高 积木 经典款,母婴玩具,积木,乐高,217.58,525.46,乐高官方旗舰店,1
P0083,乐高 积木 升级款,母婴玩具,积木,乐高,219.65,509.05,乐高官方旗舰店,1
P0084,乐高 积木 尊享款,母婴玩具,积木,乐高,214.58,529.35,乐高官方旗舰店,1
P0085,迪士尼 毛绒玩具 经典款,母婴玩具,毛绒玩具,迪士尼,78.32,197.43,迪士尼官方旗舰店,1
P0086,迪士尼 毛绒玩具 升级款,母婴玩具,毛绒玩具,迪士尼,81.36,216.67,迪士尼官方旗舰店,1
P0087,迪士尼 毛绒玩具 尊享款,母婴玩具,毛绒玩具,迪士尼,74.29,209.16,迪士尼官方旗舰店,1
P0088,好孩子 婴儿推车 经典款,母婴玩具,婴儿推车,好孩子,390.34,801.2,好孩子官方旗舰店,1
P0089,好孩子 婴儿推车 升级款,母婴玩具,婴儿推车,好孩子,395.1,781.53,好孩子官方旗舰店,1
P0090,好孩子 婴儿推车 尊享款,母婴玩具,婴儿推车,好孩子,357.19,774.74,好孩子官方旗舰店,0
