order_id,customer_id,order_time,order_status,payment_method,discount_amount,delivery_days
O000054,C00206,2024-02-15 22:45:52,已退款,微信支付,63.22,3
O000055,C01791,2025-02-27 16:20:52,已完成,微信支付,8.44,5
O000056,C01463,2025-04-13 17:14:38,已发货,微信支付,38.83,5
O000057,C01066,2025-10-16 14:35:51,已完成,货到付款,51.95,6
O000058,C00892,2025-01-26 19:07:29,已完成,货到付款,27.39,3
O000059,C00475,2024-05-21 12:43:09,已完成,支付宝,29.64,5
O000060,C01472,2024-06-03 23:58:15,已完成,银行卡,8.23,7
O000061,C01526,2024-05-23 15:29:51,已完成,微信支付,61.95,1
O000062,C00083,2025-11-12 10:01:38,已完成,微信支付,18.97,3
O000063,C00765,2025-08-01 05:16:59,已完成,微信支付,34.79,4
O000064,C01327,2025-08-23 21:01:53,已完成,微信支付,41.31,7
O000065,C00554,2025-09-03 01:27:45,已完成,支付宝,6.98,2
O000066,C01932,2024-04-05 01:18:02,已完成,微信支付,34.49,7
O000067,C01834,2025-06-11 00:46:11,已完成,货到付款,12.19,2
O000068,C01166,2025-06-12 02:50:22,已完成,支付宝,18.6,3
O000069,C00215,2024-06-19 05:26:02,已退款,微信支付,28.5,2
O000070,C01648,2025-01-15 11:58:56,已完成,银行卡,39.18,5
O000071,C01983,2025-05-27 06:26:13,已退款,银行卡,34.74,6
O000072,C00896,2025-10-20 10:07:22,已完成,支付宝,5.73,2
O000073,C00433,2024-04-16 10:54:40,待发货,微信支付,28.03,4
O000074,C01360,2025-10-16 10:23:02,已完成,支付宝,3.14,6
O000075,C00083,2025-11-06 01:53:38,已完成,支付宝,20.06,4
O000076,C00301,2025-11-06 12:44:06,已完成,支付宝,6.81,6
O000077,C00781,2024-01-06 07:56:54,已完成,微信支付,13.39,4
O000078,C00585,2024-06-18 12:38:41,待发货,银行卡,40.2,2
O000079,C00554,2025-06-08 01:35:20,待发货,微信支付,74.18,3
O000080,C01983,2024-08-27 20:14:42,已完成,货到付款,15.58,3
O000081,C01579,2024-03-06 17:16:18,已完成,微信支付,58.46,2
O000082,C00748,2025-07-12 08:19:06,已完成,银行卡,3.5,6
O000083,C01911,2024-02-02 08:18:00,已完成,微信支付,26.87,5
O000084,C00407,2024-12-09 07:35:13,已完成,支付宝,32.11,7
O000085,C00270,2025-11-21 23:52:42,已完成,银行卡,8.67,6
O000086,C01225,2024-12-03 16:02:33,已完成,微信支付,50.94,7
O000087,C00249,2025-11-02 11:37:16,已取消,微信支付,11.65,5
O000088,C00083,2024-11-07 15:45:41,已完成,货到付款,64.05,7
O000089,C01133,2024-09-17 01:26:23,已完成,货到付款,47.32,3
O000090,C00044,2024-04-14 19:16:09,已完成,支付宝,59.3,3
O000091,C00017,2024-09-27 14:25:40,已完成,微信支付,13.14,5
O000092,C00723,2024-09-09 07:49:27,已完成,微信支付,25.37,7
O000093,C00781,2025-09-08 16:54:39,已完成,支付宝,56.44,6
O000094,C00786,2025-11-05 00:41:33,已完成,支付宝,36.27,4
O000095,C01457,2024-01-26 11:29:06,已完成,微信支付,50.59,6
O000096,C01709,2024-04-06 22:38:02,已完成,微信支付,33.08,3
O000097,C00592,2025-05-15 18:40:06,已退款,银行卡,53.78,2
O000098,C01792,2025-01-09 01:46:13,已完成,支付宝,51.32,6
O000099,C01416,2024-08-09 14:08:13,已完成,支付宝,23.96,4
O000100,C00408,2024-07-13 16:04:55,已完成,货到付款,70.53,6
O000101,C00124,2024-06-19 12:20:46,已完成,支付宝,58.59,4
O000102,C00348,2025-02-17 07:15:52,已完成,微信支付,5.46,2
O000103,C00317,2024-01-21 16:36:28,已完成,银行卡,3.02,5
O000104,C00291,2025-06-27 10:31:19,已完成,货到付款,57.29,4
O000105,C00629,2024-08-11 22:55:24,已完成,微信支付,50.56,2
O000106,C01711,2024-11-19 20:46:52,已完成,微信支付,73.96,4
O000107,C01997,2025-02-19 21:08:21,已退款,微信支付,54.04,4
O000108,C00433,2024-06-15 10:50:37,已完成,微信支付,16.66,6
O000109,C01319,2025-10-09 16:46:08,已完成,微信支付,3.36,4
O000110,C01178,2025-06-05 03:22:58,已完成,微信支付,42.59,5
O000111,C01791,2025-09-27 18:03:38,已完成,支付宝,39.7,7
O000112,C00916,2024-12-31 18:47:57,已完成,未知,74.99,5
O000113,C00931,2024-11-24 18:11:17,已完成,银行卡,56.67,5
O000114,C00725,2024-06-27 00:13:37,已完成,支付宝,72.0,2
O000115,C01694,2025-03-06 10:28:16,已完成,微信支付,60.53,4
O000116,C01387,2025-04-11 06:04:28,已完成,银行卡,52.85,6
O000117,C00592,2024-11-12 21:23:19,已完成,支付宝,45.05,7
O000118,C01432,2024-05-12 12:14:08,已完成,支付宝,46.4,7
O000119,C00333,2024-07-22 14:03:26,已完成,银行卡,40.6,7
O000120,C01364,2024-01-17 10:54:31,已退款,银行卡,67.12,4
O000121,C01261,2024-08-25 02:15:09,已完成,支付宝,18.77,4
O000122,C00485,2025-04-03 14:32:23,已完成,支付宝,73.22,3
O000123,C01544,2025-11-29 14:49:05,已完成,微信支付,44.76,4
O000124,C00844,2024-06-02 09:28:38,已完成,支付宝,34.99,6
O000125,C01896,2024-03-01 15:17:18,已完成,支付宝,16.88,3
O000126,C01060,2024-08-08 09:44:05,已完成,货到付款,22.09,2
O000127,C00140,2024-05-20 15:41:30,已完成,支付宝,46.73,6
O000128,C00433,2025-06-09 08:00:50,已完成,微信支付,12.14,4
O000129,C00819,2024-01-07 18:49:59,已完成,支付宝,0.26,5
O000130,C01596,2025-12-19 21:07:58,已完成,支付宝,20.74,4
O000131,C00616,2025-09-15 11:44:10,已完成,支付宝,24.33,4
O000132,C00287,2025-01-15 00:05:12,已完成,支付宝,75.31,3
O000133,C01663,2025-11-05 16:03:53,已完成,货到付款,46.55,4
O000134,C01472,2025-05-05 22:07:37,已完成,微信支付,32.46,5
O000135,C01225,2025-12-28 17:44:32,已完成,货到付款,78.64,5
O000136,C01189,2024-07-26 08:27:48,已完成,支付宝,29.39,7
O000137,C01983,2025-12-29 13:36:03,已完成,微信支付,76.65,7
O000138,C01425,2024-06-03 08:16:33,已完成,微信支付,75.32,1
O000139,C00475,2024-09-23 18:07:34,已完成,银行卡,55.19,6
O000140,C00943,2025-11-11 17:47:56,已完成,银行卡,42.02,4
O000141,C00594,2024-10-09 15:49:28,已完成,微信支付,65.74,4
O000142,C00637,2024-06-14 09:50:30,已取消,支付宝,25.91,6
O000143,C00976,2024-03-04 04:03:48,已发货,微信支付,29.43,7
O000144,C01280,2024-05-15 14:55:16,已完成,支付宝,16.55,6
O000145,C00193,2024-09-25 08:32:04,已完成,微信支付,20.43,2
O000146,C00437,2024-11-13 21:11:28,已完成,微信支付,10.92,3
O000147,C01526,2025-03-04 01:11:36,已完成,微信支付,68.05,3
O000148,C00725,2025-08-15 20:30:29,已完成,支付宝,0.1,7
O000149,C00587,2024-01-16 18:36:42,已完成,微信支付,33.96,3
O000150,C00475,2025-09-04 12:02:15,待发货,支付宝,29.14,5
O000151,C00829,2025-03-31 23:29:00,已完成,银行卡,31.01,4
O000152,C01143,2025-07-08 17:14:47,已完成,支付宝,67.5,1
O000153,C01548,2025-07-08 01:55:51,已完成,银行卡,65.68,5
O000154,C01388,2025-10-26 09:36:37,已取消,银行卡,53.07,4
O000155,C00122,2024-04-03 20:22:18,已完成,微信支付,55.13,6
O000156,C00366,2025-03-27 18:25:22,已取消,微信支付,64.28,4
O000157,C00201,2025-11-01 03:50:28,已完成,支付宝,30.8,2
O000158,C00337,2025-06-17 04:41:25,已完成,支付宝,36.04,6
O000159,C01594,2024-04-05 22:23:13,已完成,货到付款,19.58,4
O000160,C00201,2025-04-26 01:50:22,已完成,微信支付,19.04,7
O000161,C01028,2025-08-05 22:37:17,已完成,微信支付,74.77,7
O000162,C01964,2024-07-23 12:03:26,已完成,银行卡,60.85,2
O000163,C00197,2025-05-08 19:37:22,已完成,银行卡,36.24,3
O000164,C01115,2025-09-03 05:56:31,已完成,支付宝,3.12,4
O000165,C00260,2025-02-16 08:51:48,已完成,支付宝,59.42,2
O000166,C00962,2024-06-08 17:02:19,已完成,银行卡,75.88,5
O000167,C00412,2025-03-09 03:52:03,已完成,支付宝,74.14,3
O000168,C00083,2025-04-07 02:58:49,已完成,银行卡,57.13,4
O000169,C01412,2024-11-04 14:09:11,已完成,货到付款,51.82,5
O000170,C01932,2025-06-04 00:38:55,待发货,微信支付,9.67,7
O000171,C01669,2024-11-25 22:45:31,已完成,微信支付,6.85,4
O000172,C01932,2025-10-03 16:02:31,已完成,货到付款,21.22,3
O000173,C01385,2025-07-31 17:49:24,已完成,支付宝,45.1,7
O000174,C01327,2025-08-09 12:23:42,已完成,微信支付,73.06,5
O000175,C00282,2025-02-18 14:17:39,已完成,支付宝,69.69,4
O000176,C00949,2024-06-09 22:15:55,已完成,支付宝,24.49,6
O000177,C01815,2025-06-19 00:30:00,已完成,微信支付,29.3,5
O000178,C00637,2024-03-12 05:47:11,已发货,支付宝,24.83,2
O000179,C01166,2025-02-10 16:49:16,已完成,微信支付,42.41,5
O000180,C01424,2024-02-27 02:13:11,已完成,微信支付,64.71,3
O000181,C00033,2025-02-20 05:49:56,已完成,微信支付,62.65,4
O000182,C00549,2025-06-06 00:49:04,已完成,支付宝,70.9,5
O000183,C00083,2024-11-12 01:03:07,已完成,银行卡,41.74,3
O000184,C00819,2024-11-11 10:18:26,已完成,支付宝,52.65,7
O000185,C01671,2024-04-26 15:00:15,已完成,银行卡,76.31,4
O000186,C00262,2024-08-12 02:59:19,已完成,微信支付,54.04,4
O000187,C01523,2024-12-08 23:28:36,已完成,微信支付,13.36,6
O000188,C00022,2025-09-21 18:16:33,已完成,支付宝,26.15,4
O000189,C00993,2025-10-21 15:53:51,已完成,银行卡,6.06,4
O000190,C01165,2025-11-27 01:41:27,已完成,支付宝,8.84,3
O000191,C00017,2024-04-08 12:56:56,已完成,银行卡,39.35,5
O000192,C00475,2024-08-08 22:48:11,已完成,微信支付,59.09,2
O000193,C01909,2024-12-22 05:57:11,已完成,货到付款,15.12,5
O000194,C01777,2025-05-14 12:12:23,已完成,银行卡,25.6,6
O000195,C01802,2025-06-12 13:12:07,已完成,银行卡,26.92,3
O000196,C00456,2025-07-27 16:04:01,已退款,微信支付,67.21,3
O000197,C01405,2025-01-20 22:20:22,已完成,微信支付,14.72,7
O000198,C00765,2025-03-15 03:33:32,已完成,支付宝,2.72,1
O000199,C01690,2025-12-04 01:33:16,已完成,未知,49.91,5
O000200,C00475,2024-06-29 02:40:16,已完成,支付宝,42.15,6
O000201,C00076,2025-08-08 06:43:05,已完成,微信支付,0.22,1
O000202,C00022,2025-06-15 08:49:06,已退款,支付宝,61.18,6
O000203,C01923,2024-05-08 21:31:52,已完成,微信支付,33.91,3
O000204,C01551,2025-11-08 12:16:03,已完成,支付宝,43.83,7
O000205,C01032,2025-09-15 17:26:42,已完成,微信支付,53.67,6
O000206,C00287,2025-07-22 13:52:42,已发货,银行卡,4.11,3
O000207,C01526,2024-04-29 22:48:12,已完成,微信支付,13.8,2
O000208,C00867,2024-05-08 07:54:14,已完成,支付宝,37.05,3
O000209,C00291,2025-06-05 16:32:22,待发货,微信支付,13.75,5
O000210,C00529,2024-04-14 06:46:39,已完成,微信支付,9.33,7
O000211,C01246,2024-04-18 05:24:02,已完成,支付宝,26.0,6
O000212,C00496,2024-11-03 23:00:48,已完成,微信支付,34.13,6
O000213,C00475,2024-01-07 00:44:20,已完成,支付宝,67.99,7
O000214,C01364,2025-06-18 06:05:29,待发货,微信支付,47.6,3
O000215,C00287,2025-03-02 09:38:54,已完成,支付宝,74.35,5
O000216,C01648,2024-03-21 03:59:07,已完成,银行卡,36.58,5
O000217,C00605,2025-03-05 18:01:56,已完成,支付宝,37.79,7
O000218,C00066,2024-02-28 08:44:36,已完成,微信支付,24.92,5
O000219,C01802,2024-03-14 11:52:25,已完成,支付宝,6.52,6
O000220,C01010,2025-01-10 07:37:04,已完成,微信支付,13.76,7
O000221,C01066,2025-01-25 21:41:04,已完成,支付宝,5.42,5
O000222,C01648,2024-09-11 10:54:49,已发货,银行卡,56.28,3
O000223,C01316,2025-05-01 18:46:24,已完成,微信支付,27.92,3
O000224,C00330,2024-10-25 14:02:45,已完成,微信支付,2.52,7
O000225,C00450,2025-04-07 22:46:49,已完成,银行卡,60.18,5
O000226,C01188,2024-09-20 14:45:24,已完成,支付宝,20.39,4
O000227,C00433,2025-06-15 23:13:18,已完成,微信支付,71.48,2
O000228,C01640,2025-04-01 16:39:16,已完成,货到付款,65.85,2
O000229,C01327,2024-05-23 01:50:38,已完成,微信支付,24.3,3
O000230,C01128,2025-06-06 03:50:42,已完成,银行卡,18.86,4
O000231,C01991,2025-07-26 18:52:20,待发货,微信支付,79.45,2
O000232,C00725,2024-03-10 01:46:34,已完成,货到付款,65.57,3
O000233,C00408,2025-04-23 04:07:32,已完成,银行卡,74.13,3
O000234,C01229,2025-07-30 18:29:08,已完成,微信支付,1.36,6
O000235,C01975,2024-04-19 08:13:31,已完成,货到付款,47.87,5
O000236,C00475,2025-10-25 05:04:45,已完成,微信支付,21.33,7
O000237,C00262,2024-11-10 04:15:57,已完成,银行卡,29.98,5
O000238,C00637,2025-06-26 07:54:20,已完成,支付宝,7.29,5
O000239,C00083,2025-10-22 20:35:14,已发货,微信支付,59.87,6
O000240,C01815,2025-12-25 10:45:53,已发货,支付宝,42.05,3
O000241,C00033,2025-04-05 22:30:55,已完成,微信支付,63.36,5
O000242,C01802,2025-06-12 17:21:49,已完成,支付宝,9.32,4
O000243,C01548,2024-07-07 06:28:20,已完成,支付宝,79.78,4
O000244,C01853,2024-08-04 03:59:16,已完成,支付宝,27.88,6
O000245,C01932,2025-09-11 22:17:37,已完成,银行卡,76.12,3
O000246,C00610,2024-11-02 21:18:15,已完成,货到付款,54.12,5
O000247,C01548,2025-08-21 02:50:46,已完成,支付宝,8.71,4
O000248,C00535,2024-02-25 07:22:23,已完成,支付宝,62.56,3
O000249,C01327,2024-06-17 17:54:19,已完成,微信支付,44.85,6
O000250,C00999,2024-05-30 23:58:48,已完成,货到付款,15.1,4
O000251,C00678,2025-02-19 21:03:21,已完成,银行卡,14.98,5
O000252,C01321,2024-03-23 06:40:07,已完成,货到付款,76.25,7
O000253,C01777,2024-09-15 21:05:47,已完成,支付宝,79.89,4
O000254,C01441,2025-12-23 17:52:18,待发货,微信支付,46.09,3
O000255,C00113,2025-08-02 11:06:39,待发货,微信支付,14.97,6
O000256,C00473,2025-07-10 09:53:39,已完成,支付宝,27.22,3
O000257,C00295,2024-05-05 19:46:04,已完成,微信支付,16.96,1
O000258,C01648,2024-10-03 20:32:02,已完成,支付宝,48.6,7
O000259,C00122,2025-06-04 21:12:49,已完成,微信支付,32.02,7
O000260,C00860,2024-01-26 11:16:03,已完成,支付宝,30.25,2
O000261,C00819,2024-11-26 06:25:19,已完成,支付宝,64.11,7
O000262,C00690,2025-11-08 20:50:45,已完成,微信支付,77.09,4
O000263,C01413,2024-03-24 07:53:10,已完成,支付宝,15.76,6
O000264,C01551,2025-10-29 18:30:31,已完成,微信支付,33.15,4
O000265,C00122,2024-06-08 12:13:06,已完成,微信支付,42.92,5
O000266,C01128,2024-06-07 14:33:33,已完成,支付宝,19.67,5
O000267,C01120,2024-06-09 05:49:42,已完成,微信支付,32.15,5
O000268,C01641,2025-11-09 05:32:14,已完成,微信支付,4.46,7
O000269,C01626,2025-04-19 15:53:16,已完成,微信支付,3.3,3
O000270,C00337,2025-07-04 06:00:31,已完成,微信支付,62.91,5
O000271,C01425,2024-10-05 16:30:47,已完成,微信支付,27.13,5
O000272,C01906,2025-09-29 23:02:32,已完成,支付宝,56.59,6
O000273,C01345,2025-04-03 01:36:42,已退款,银行卡,6.63,4
O000274,C00605,2025-04-16 22:36:24,已完成,微信支付,53.65,6
O000275,C00901,2025-07-05 04:18:07,已完成,微信支付,52.27,3
O000276,C01166,2025-07-19 03:47:57,已完成,微信支付,65.72,4
O000277,C00292,2025-06-05 20:57:47,已完成,微信支付,16.37,4
O000278,C00295,2024-04-22 04:27:02,已发货,微信支付,44.09,3
O000279,C00170,2025-09-24 15:26:16,已完成,支付宝,72.09,5
O000280,C00640,2024-07-14 02:11:24,已完成,支付宝,17.59,4
O000281,C00124,2025-12-29 02:01:04,已完成,支付宝,9.99,7
O000282,C00753,2024-10-23 04:24:51,已完成,银行卡,27.58,5
O000283,C01295,2024-04-23 12:26:10,已完成,银行卡,77.23,6
O000284,C00725,2024-08-23 06:46:12,已完成,微信支付,12.59,6
O000285,C01317,2025-03-29 05:51:19,待发货,微信支付,9.55,1
O000286,C01042,2024-10-29 20:06:56,已完成,支付宝,79.82,6
O000287,C01317,2025-08-25 04:09:13,已完成,支付宝,31.45,3
O000288,C00753,2025-06-05 02:33:25,已完成,支付宝,11.94,4
O000289,C00786,2024-06-15 02:22:40,已完成,支付宝,44.69,5
O000290,C01407,2025-03-01 21:42:09,已完成,货到付款,1.11,2
O000291,C01865,2025-07-28 11:19:05,已完成,支付宝,34.05,3
O000292,C00107,2025-10-15 23:24:05,已取消,货到付款,2.9,4
O000293,C00706,2024-11-01 19:26:11,已完成,货到付款,45.23,4
O000294,C00475,2025-11-07 06:36:19,已完成,支付宝,49.98,5
O000295,C00867,2024-02-10 18:04:56,已完成,微信支付,0.28,6
O000296,C00332,2025-06-03 10:53:55,已完成,微信支付,41.02,5
O000297,C00095,2025-07-24 13:20:34,已完成,微信支付,75.6,2
O000298,C01080,2024-11-17 12:12:56,待发货,银行卡,31.85,4
O000299,C01060,2024-01-13 18:38:01,已完成,货到付款,76.36,7
O000300,C01473,2025-06-07 04:08:33,已完成,微信支付,77.08,3
O000301,C00122,2024-09-14 01:35:26,已完成,微信支付,19.22,2
O000302,C01009,2024-05-17 17:03:07,已完成,银行卡,46.19,5
O000303,C00980,2024-05-20 22:15:33,已完成,支付宝,66.42,2
O000304,C00044,2025-07-16 13:43:27,已完成,支付宝,56.73,2
O000305,C01177,2024-06-06 02:22:45,已完成,微信支付,60.81,1
O000306,C00786,2025-01-08 02:54:25,已完成,微信支付,20.87,5
O000307,C01367,2025-12-12 13:21:25,待发货,微信支付,73.46,6
O000308,C01309,2025-07-09 21:41:13,已完成,微信支付,18.85,4
O000309,C00748,2025-03-08 14:01:28,已完成,微信支付,51.58,7
O000310,C01510,2025-02-20 07:58:04,待发货,微信支付,70.78,1
O000311,C01777,2024-05-28 14:36:33,已完成,支付宝,28.76,4
O000312,C00592,2024-12-10 03:42:22,已完成,银行卡,44.17,1
O000313,C01160,2024-05-12 11:19:16,已完成,微信支付,55.24,5
O000314,C01488,2024-03-25 23:17:22,已完成,银行卡,74.28,6
O000315,C01165,2024-04-15 15:26:53,已完成,微信支付,35.84,2
O000316,C00789,2025-04-21 02:15:42,已完成,支付宝,48.26,2
O000317,C01448,2024-06-08 04:01:51,待发货,微信支付,11.34,5
O000318,C01526,2024-05-15 01:40:23,已完成,银行卡,5.22,2
O000319,C00083,2025-09-24 09:42:23,已取消,微信支付,1.71,2
O000320,C01664,2024-04-25 05:40:00,已完成,支付宝,38.13,2
O000321,C01160,2025-06-13 23:33:40,已完成,货到付款,43.66,6
O000322,C00690,2024-11-11 07:31:01,已完成,微信支付,6.91,4
O000323,C00918,2025-04-01 00:59:58,已完成,支付宝,14.49,6
O000324,C01289,2024-01-28 10:31:41,已完成,支付宝,21.3,3
O000325,C01025,2024-01-01 17:42:27,已完成,微信支付,71.3,3
O000326,C01561,2025-08-17 16:24:39,已发货,微信支付,7.94,2
O000327,C00372,2024-12-31 23:01:59,已完成,银行卡,39.18,4
O000328,C00044,2024-03-15 08:20:09,已完成,银行卡,63.13,2
O000329,C00592,2024-09-15 12:43:44,已完成,微信支付,69.61,5
O000330,C01748,2025-01-31 13:38:51,已完成,银行卡,55.45,6
O000331,C01350,2024-05-05 00:41:35,已完成,银行卡,21.24,7
O000332,C00134,2025-03-07 00:44:39,已完成,支付宝,9.71,2
O000333,C01361,2025-02-20 19:13:30,已完成,银行卡,12.63,2
O000334,C00206,2025-04-18 09:48:09,已完成,微信支付,61.62,3
O000335,C00384,2025-08-12 16:42:58,已完成,支付宝,23.72,6
O000336,C00343,2024-11-09 22:18:17,已完成,货到付款,27.03,3
O000337,C01327,2025-10-13 05:30:23,已完成,支付宝,14.04,4
O000338,C00475,2024-12-30 18:51:58,已发货,微信支付,34.77,5
O000339,C00032,2024-12-18 05:10:03,已完成,支付宝,26.76,6
O000340,C00170,2025-05-23 17:18:24,已完成,微信支付,28.56,3
O000341,C00161,2025-04-28 03:11:33,已完成,微信支付,2.7,2
O000342,C01345,2024-01-14 07:18:14,已完成,微信支付,37.01,7
O000343,C01663,2025-12-20 11:12:40,已完成,微信支付,8.95,5
O000344,C00210,2025-11-16 11:48:31,待发货,支付宝,42.85,7
O000345,C01876,2024-07-28 00:59:15,已完成,微信支付,53.53,6
O000346,C00850,2025-03-17 20:58:12,已完成,支付宝,43.69,6
O000347,C01327,2025-07-17 00:21:17,已完成,银行卡,11.72,3
O000348,C01017,2025-11-05 21:55:47,已完成,支付宝,49.32,6
O000349,C01208,2025-04-06 04:04:31,已完成,微信支付,33.02,3
O000350,C01793,2024-01-22 17:06:47,已完成,货到付款,28.75,1
O000351,C00799,2025-06-04 17:19:43,已完成,微信支付,11.9,2
O000352,C01834,2024-04-02 10:17:48,已完成,支付宝,79.55,7
O000353,C00786,2025-06-01 12:55:51,已完成,微信支付,31.41,7
O000354,C01454,2025-04-07 01:45:37,待发货,货到付款,36.51,5
O000355,C00590,2025-05-13 21:45:21,已完成,微信支付,7.55,3
O000356,C00033,2024-06-07 02:48:41,已完成,货到付款,54.04,4
O000357,C01230,2025-01-18 15:43:56,已完成,货到付款,22.61,4
O000358,C01777,2025-04-28 00:30:19,已完成,货到付款,59.21,7
O000359,C00395,2024-08-11 17:03:29,待发货,银行卡,5.37,3
O000360,C01324,2024-06-04 08:00:52,已完成,支付宝,23.75,2
O000361,C01668,2024-06-19 11:58:35,已完成,货到付款,59.65,1
O000362,C01802,2025-09-17 00:30:08,已发货,微信支付,31.68,4
O000363,C00960,2024-12-23 05:57:21,已完成,银行卡,2.74,4
O000364,C01747,2025-05-26 10:01:15,已完成,微信支付,63.16,7
O000365,C00592,2025-02-08 17:38:28,已完成,微信支付,77.25,4
O000366,C01681,2025-08-30 14:16:59,已完成,支付宝,30.12,5
O000367,C01023,2025-02-02 06:21:50,已完成,货到付款,49.73,4
O000368,C01402,2024-04-03 14:39:57,已完成,微信支付,29.81,2
O000369,C00574,2024-06-09 05:29:44,已完成,支付宝,44.4,4
O000370,C01865,2024-01-16 13:08:30,已完成,支付宝,59.09,7
O000371,C00170,2025-08-28 12:59:39,待发货,支付宝,50.63,3
O000372,C01370,2025-05-28 05:42:29,已完成,微信支付,25.18,2
O000373,C00033,2025-07-09 04:21:02,已完成,支付宝,15.62,4
O000374,C01066,2025-06-15 12:37:07,已完成,支付宝,43.55,4
O000375,C01916,2025-08-22 14:09:33,已完成,银行卡,52.76,6
O000376,C00827,2025-12-23 23:25:39,已完成,货到付款,45.96,5
O000377,C01023,2025-05-22 11:25:15,已完成,微信支付,10.25,4
O000378,C00337,2024-07-07 10:22:01,已完成,微信支付,28.4,4
O000379,C00408,2024-04-09 11:29:04,已完成,支付宝,59.57,5
O000380,C01005,2025-04-09 20:54:18,已完成,支付宝,11.74,4
O000381,C00617,2025-07-17 07:00:51,已完成,支付宝,70.67,6
O000382,C01031,2025-03-19 09:33:25,已完成,银行卡,37.32,3
O000383,C00924,2024-08-14 08:56:58,已完成,微信支付,63.29,4
O000384,C01128,2025-06-17 14:53:53,已完成,银行卡,27.26,3
O000385,C00592,2024-12-11 16:53:51,已完成,微信支付,28.74,4
O000386,C00767,2024-08-01 11:24:58,已完成,货到付款,77.36,3
O000387,C01476,2025-09-04 06:34:14,已完成,支付宝,45.39,6
